Geo_FIPS,Geo_QNAME,Geo_NAME,TOTAL POP_DEMOGRAPHICS,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017341904,"Census Tract 3419.04, Middlesex County, Massachusetts",Census Tract 3419.04,3192,1266,441,17,1206,0,30,232,1081,66,0,25,23,63,23,75,88,29,97,27,90,77,179,88,131,86131,130404,50904,1103,433,670,322,111,606400,,,282,45,0,45,0,237,0,151,218,213,217,295,102,36,0
25017342101,"Census Tract 3421.01, Middlesex County, Massachusetts",Census Tract 3421.01,5487,2554,883,0,262,0,1170,618,1750,153,41,0,47,27,35,42,57,47,114,151,180,245,160,348,103,98813,135888,68529,1814,730,1084,332,398,596800,,,447,0,0,0,0,447,0,283,306,466,380,434,54,110,0
25017342102,"Census Tract 3421.02, Middlesex County, Massachusetts",Census Tract 3421.02,4870,1536,1026,0,878,57,526,847,1622,51,159,70,60,36,48,36,80,85,101,79,231,88,107,168,223,75682,122083,49922,1699,424,1275,219,205,579300,,,297,24,24,0,0,256,17,127,422,429,271,200,132,72,96
25017342201,"Census Tract 3422.01, Middlesex County, Massachusetts",Census Tract 3422.01,5646,2570,746,105,640,0,580,1005,2302,190,80,38,0,134,35,62,53,28,175,145,351,514,91,250,156,94429,114208,71406,2480,769,1711,417,352,621500,,,660,145,0,145,0,515,0,109,593,429,545,590,118,27,0
25017342202,"Census Tract 3422.02, Middlesex County, Massachusetts",Census Tract 3422.02,3931,1321,687,0,502,0,568,853,1467,40,73,124,124,15,6,5,84,18,108,150,141,140,73,185,181,73650,95595,56161,1544,856,688,333,523,533800,,,624,36,5,31,0,579,9,232,451,208,225,393,125,65,0
25017342301,"Census Tract 3423.01, Middlesex County, Massachusetts",Census Tract 3423.01,3903,1072,662,0,46,0,717,1406,1132,0,63,25,54,28,26,146,10,25,45,12,116,101,34,139,308,107625,178344,36717,1155,715,440,337,378,685300,,,513,25,0,25,0,488,0,202,213,337,170,201,37,131,43
25017342302,"Census Tract 3423.02, Middlesex County, Massachusetts",Census Tract 3423.02,3624,1755,515,0,187,0,306,861,1250,28,72,47,0,38,0,18,48,0,96,54,256,141,202,123,127,98788,119479,78877,1333,593,740,347,246,634200,,,465,89,54,35,0,360,16,128,318,171,340,327,15,23,56
25017342401,"Census Tract 3424.01, Middlesex County, Massachusetts",Census Tract 3424.01,3674,1449,132,0,128,0,481,1484,1633,178,155,208,14,74,6,15,80,0,110,112,195,117,118,50,201,59227,99657,37083,1918,468,1450,303,165,558400,,,342,26,0,26,0,316,0,126,525,577,341,108,44,18,20
25017342402,"Census Tract 3424.02, Middlesex County, Massachusetts",Census Tract 3424.02,4362,1812,148,0,447,0,286,1669,1687,42,107,89,89,65,77,0,50,69,62,62,255,147,121,191,261,87772,106375,83417,1903,375,1528,271,104,576400,,,255,13,0,13,0,233,9,120,373,709,175,103,244,83,0
25017342501,"Census Tract 3425.01, Middlesex County, Massachusetts",Census Tract 3425.01,4703,2555,624,94,141,0,681,608,1572,121,62,9,175,43,44,0,135,35,39,243,125,87,154,140,160,67717,100909,65758,1702,540,1162,324,216,533200,,,436,86,39,47,0,298,52,104,338,377,226,359,160,34,78
25017342502,"Census Tract 3425.02, Middlesex County, Massachusetts",Census Tract 3425.02,3442,1853,276,0,186,0,340,787,1087,83,9,118,18,141,0,8,14,81,48,151,170,26,11,64,145,63652,,63897,1151,300,851,197,103,574600,,,188,30,15,15,51,107,0,112,151,369,293,217,57,0,0
25017342600,"Census Tract 3426, Middlesex County, Massachusetts",Census Tract 3426,5594,2494,604,127,442,50,475,1402,1760,44,45,24,0,92,25,150,0,90,119,238,263,156,198,146,170,83448,92667,80167,1842,534,1308,360,174,650000,,,427,12,0,12,0,415,0,107,238,515,357,354,172,39,85
25017350105,"Census Tract 3501.05, Middlesex County, Massachusetts",Census Tract 3501.05,1271,1008,42,0,149,6,11,55,519,0,9,11,11,11,7,42,14,0,0,22,55,67,40,65,165,130536,117404,170227,543,265,278,238,27,780600,,,132,28,6,22,0,96,8,133,121,224,100,43,19,8,4
25017350106,"Census Tract 3501.06, Middlesex County, Massachusetts",Census Tract 3501.06,2165,1277,64,0,591,0,73,160,1217,75,30,23,0,30,0,24,20,47,31,63,129,97,72,137,439,139688,250001,129125,1232,70,1162,9,61,1025000,,,54,0,0,0,0,54,0,16,511,582,81,25,0,0,18
25017350107,"Census Tract 3501.07, Middlesex County, Massachusetts",Census Tract 3501.07,1334,1122,5,0,18,0,178,11,418,20,0,9,12,14,0,5,0,0,17,21,53,69,29,124,45,121250,125474,120104,480,165,315,119,46,871300,,,138,29,0,29,0,109,0,27,72,78,73,104,56,35,0
25017350108,"Census Tract 3501.08, Middlesex County, Massachusetts",Census Tract 3501.08,3814,2320,340,10,443,0,416,285,1671,33,90,155,43,37,122,7,33,8,46,163,109,167,145,191,322,98359,149042,71528,1813,465,1348,369,96,668500,,,345,65,0,65,0,280,0,120,413,727,302,127,56,46,0
25017350109,"Census Tract 3501.09, Middlesex County, Massachusetts",Census Tract 3501.09,2500,1230,234,14,179,0,614,229,949,18,8,112,26,0,30,0,15,16,80,41,79,150,34,120,220,111201,119444,110280,963,196,767,63,133,745600,,,163,4,0,4,0,151,8,33,364,139,239,165,29,0,13
25017350201,"Census Tract 3502.01, Middlesex County, Massachusetts",Census Tract 3502.01,3060,1829,49,40,417,0,467,258,1288,0,48,56,0,34,0,0,10,62,39,123,13,142,271,301,189,130000,127487,130030,1327,519,808,420,99,862900,,,309,44,0,44,11,242,12,210,304,532,290,91,0,16,55
25017350202,"Census Tract 3502.02, Middlesex County, Massachusetts",Census Tract 3502.02,4118,3137,164,10,111,0,111,585,1633,45,28,10,45,25,0,0,10,0,96,21,218,243,172,265,455,129826,159464,126413,1764,815,949,658,157,737900,,,574,121,19,102,15,438,0,241,353,685,285,148,50,93,19
25017350300,"Census Tract 3503, Middlesex County, Massachusetts",Census Tract 3503,2931,2096,137,0,452,0,42,204,1389,53,196,0,15,25,7,10,0,36,87,53,99,116,102,140,450,124750,177045,102279,1517,530,987,335,195,894900,,,320,22,0,22,0,285,13,210,473,530,198,163,25,0,0
25017350400,"Census Tract 3504, Middlesex County, Massachusetts",Census Tract 3504,5970,4302,2,0,779,0,53,834,2350,81,21,45,15,33,0,0,15,12,226,101,165,131,180,334,991,160960,204045,131657,2520,1216,1304,997,219,1061600,,,807,203,0,203,0,568,36,409,571,732,433,556,43,15,0
25017350500,"Census Tract 3505, Middlesex County, Massachusetts",Census Tract 3505,1655,1423,35,0,96,0,20,81,774,24,6,5,0,6,6,6,25,0,16,23,44,106,90,163,254,160556,173214,148929,833,242,591,208,34,1079500,,,132,45,0,45,0,76,11,110,214,355,123,54,28,0,0
25017350600,"Census Tract 3506, Middlesex County, Massachusetts",Census Tract 3506,4908,3441,176,0,800,13,23,455,1074,63,23,34,0,32,8,0,17,13,10,22,91,127,66,201,367,153542,183654,152188,1092,438,654,377,61,983000,,,306,16,0,16,10,270,10,132,212,380,323,100,59,0,0
25017350701,"Census Tract 3507.01, Middlesex County, Massachusetts",Census Tract 3507.01,2872,2271,78,0,305,0,28,190,1534,5,41,50,38,0,62,15,0,0,25,141,150,289,99,188,431,119470,118910,145655,1619,587,1032,480,107,683700,,,423,13,0,13,0,410,0,164,686,453,285,110,0,0,0
25017350702,"Census Tract 3507.02, Middlesex County, Massachusetts",Census Tract 3507.02,3345,2233,384,74,328,0,0,326,1603,272,142,92,77,155,45,38,35,9,61,96,64,135,44,192,146,37011,150500,28125,1648,282,1366,273,9,812100,,,249,17,0,17,0,232,0,33,714,401,261,124,103,0,0
25017350800,"Census Tract 3508, Middlesex County, Massachusetts",Census Tract 3508,1972,1555,76,0,110,0,23,208,866,0,9,0,4,33,6,6,26,18,56,33,35,60,72,156,352,174615,189125,172125,955,355,600,285,70,977200,,,225,55,0,55,4,160,6,130,161,450,126,106,14,1,8
25017350900,"Census Tract 3509, Middlesex County, Massachusetts",Census Tract 3509,3723,2846,87,0,546,0,5,239,1685,31,0,0,0,15,75,37,24,0,36,61,158,129,130,123,866,207776,239583,165787,1789,670,1119,505,165,1165900,,,374,23,0,23,0,351,0,296,526,587,335,168,61,8,0
25017351001,"Census Tract 3510.01, Middlesex County, Massachusetts",Census Tract 3510.01,4045,2832,49,0,503,12,62,587,1887,31,36,25,53,17,10,23,45,13,50,160,192,185,216,245,586,139506,193889,125250,2011,722,1289,456,266,1047300,,,435,44,36,8,0,391,0,287,552,734,460,84,37,0,20
25017351002,"Census Tract 3510.02, Middlesex County, Massachusetts",Census Tract 3510.02,2739,1804,15,0,455,0,20,445,1196,0,0,21,0,0,28,0,0,25,75,21,203,45,193,166,419,149337,208657,135511,1304,377,927,268,109,832800,,,228,9,0,9,23,196,0,149,375,374,267,115,23,42,0
